Record Number,Year,County,District,District Code,Population,Avg. Household Income,Avg. Property Valuation / ADM,Unemployment %,Poverty %,Single-Parent Family %,Student/Offender,Offense/Offender,NCNT in Gang,H.S. Diploma w/o College Degree,Less than 12th Grade,College Degree or Above,Free Reduced Lunch %
4343,2016,CUSTER,CLINTON,20I099,10517,62330.59723,32998.5608,0.03834261,0.15022248,0.405940594,64.25,2.083333333,0,0.205124451,0.601610542,0.193265007,0.8197
4344,2016,DELAWARE,CLEORA,21C006,1981,60048.69848,348975.7571,0.064285714,0.173649672,0.369369369,,0,0,0.208756345,0.689086294,0.10215736,0.575
4345,2016,DELAWARE,LEACH,21C014,813,47607.97342,19575.1036,0.083591331,0.182490752,0.285714286,,0,0,0.200400802,0.663326653,0.136272545,0.7517
4346,2016,DELAWARE,KENWOOD,21C030,477,40163.15789,6569.7317,0.183168317,0.245283019,0.333333333,,0,0,0.153125,0.60625,0.240625,0.7822
4347,2016,DELAWARE,MOSELEY,21C034,2092,44645.17045,38360.6072,0.08988764,0.141772152,0.293785311,244,1,0,0.086437105,0.668306395,0.2452565,0.6721
4348,2016,DELAWARE,JAY,21I001,9706,43602.43763,31146.5925,0.109908214,0.306640008,0.372631579,40.61904762,1.761904762,0,0.114741162,0.677714646,0.207544192,0.7878
4349,2016,DELAWARE,GROVE,21I002,17183,58219.92706,84958.6683,0.073236633,0.14912539,0.372868792,49.22,1.68,0,0.222832723,0.669490232,0.107677045,0.6209
4350,2016,DELAWARE,KANSAS,21I003,4146,48605.38695,15275.0014,0.136264929,0.224242424,0.208994709,218.25,1.75,0,0.112717835,0.718946978,0.168335187,0.7938
4351,2016,DELAWARE,COLCORD,21I004,2951,42311.08132,15583.7331,0.086826347,0.211976863,0.223021583,67.44444444,1.777777778,0,0.072684086,0.720665083,0.206650831,0.9127
4352,2016,DELAWARE,OAKS-MISSION,21I005,1699,49149.24812,17976.6361,0.087186262,0.2,0.3,,0,0,0.167562724,0.681003584,0.151433692,0.6779
4353,2016,DEWEY,VICI,22I005,1752,59549.658,57622.486,0.039630119,0.160966981,0.272727273,68.6,1.4,0,0.240619902,0.65497553,0.104404568,0.4985
4354,2016,DEWEY,SEILING,22I008,1550,71952.98869,221673.59,0.031767956,0.139906729,0.363636364,87.2,2.2,0,0.180358829,0.686496695,0.133144476,0.5161
4355,2016,DEWEY,TALOGA,22I010,1027,87871.35135,618737.1009,0.013833992,0.12027833,0.233766234,,0,0,0.252600297,0.680534918,0.066864785,0.6881
4356,2016,ELLIS,FARGO,23I002,1066,67476.96335,200557.1836,0.061567164,0.087242026,0.083333333,191,1,0,0.170894526,0.73965287,0.089452603,0.7539
4357,2016,ELLIS,ARNETT,23I003,963,87313.33333,138362.7206,0.04185022,0.089192025,0.255102041,70.66666667,1,0,0.246676514,0.630723781,0.122599705,0.4811
4358,2016,ELLIS,GAGE,23I039,778,50675.07886,14398.6296,0.031914894,0.214652956,0.428571429,93,3,0,0.197761194,0.615671642,0.186567164,0.7634
4359,2016,ELLIS,SHATTUCK,23I042,1551,62731.73375,87850.1074,0.06025825,0.183713355,0.312138728,353,4,0,0.239819005,0.666063348,0.094117647,0.5184
4360,2016,GARFIELD,WAUKOMIS,24I001,2441,60584.32836,48210.5434,0.064655172,0.136241007,0.301003344,416,1,0,0.181322427,0.721881391,0.096796183,0.5529
