Year,CountyName,DistrictName,SchoolName,DistrictCode,SchoolCode,IndexScore,LetteGrade
2013,Washington,Bartlesville,"Woodrow Wilson ES",74I030,74I030185,88,B+
2014,Washington,Bartlesville,"Woodrow Wilson ES",74I030,74I030185,90,A-
2015,WASHINGTON,BARTLESVILLE,"WOODROW WILSON ES",74I030,74I030185,91,A-
2016,WASHINGTON,BARTLESVILLE,"WOODROW WILSON ES",74I030,74I030185,93,A
2013,McCurtain,Battiest,"Battiest ES",48I071,48I071105,84,B
2014,McCurtain,Battiest,"Battiest ES",48I071,48I071105,81,B-
2015,MCCURTAIN,BATTIEST,"BATTIEST ES",48I071,48I071105,84,B
2016,MCCURTAIN,BATTIEST,"BATTIEST ES",48I071,48I071105,75,C
2013,McCurtain,Battiest,"Battiest HS",48I071,48I071715,100,A+
2014,McCurtain,Battiest,"Battiest HS",48I071,48I071715,88,B+
2015,MCCURTAIN,BATTIEST,"BATTIEST HS",48I071,48I071715,93,A
2016,MCCURTAIN,BATTIEST,"BATTIEST HS",48I071,48I071715,84,B
2013,Okfuskee,Bearden,"Bearden Public School",54C029,54C029105,57,F
2014,Okfuskee,Bearden,"Bearden Public School",54C029,54C029105,60,D-
2015,OKFUSKEE,BEARDEN,"BEARDEN PUBLIC SCHOOL",54C029,54C029105,70,C-
2016,OKFUSKEE,BEARDEN,"BEARDEN PUBLIC SCHOOL",54C029,54C029105,69,D+
2013,Beaver,Beaver,"Beaver ES",04I022,04I022105,70,C-
