RecordNumber,County,District,School,lat,lon
1393,POTTAWATOMIE,MCLOUD,MCLOUD ES,35.4261465,-97.0962802
1394,POTTAWATOMIE,MCLOUD,MCLOUD JHS,35.4261465,-97.0962802
1395,POTTAWATOMIE,MCLOUD,MCLOUD HS,35.4261465,-97.0962802
1396,POTTAWATOMIE,DALE,DALE ES,35.3874696,-97.0463858
1397,POTTAWATOMIE,DALE,DALE MS,35.3874696,-97.0463858
1398,POTTAWATOMIE,DALE,DALE HS,35.3874696,-97.0463858
1399,POTTAWATOMIE,BETHEL,BETHEL ES,35.3189415,-97.0159719
1400,POTTAWATOMIE,BETHEL,BETHEL MS,35.3189415,-97.0159719
1401,POTTAWATOMIE,BETHEL,BETHEL HS,35.3189415,-97.0159719
1402,POTTAWATOMIE,MACOMB,MACOMB ES,35.1446113,-97.0096567
1403,POTTAWATOMIE,MACOMB,MACOMB HS,35.1446113,-97.0096567
1404,POTTAWATOMIE,EARLSBORO,EARLSBORO ES,35.2682177,-96.8054268
1405,POTTAWATOMIE,EARLSBORO,EARLSBORO ES,35.2682177,-96.8054268
1406,POTTAWATOMIE,EARLSBORO,EARLSBORO HS,35.2682177,-96.8054268
1407,POTTAWATOMIE,EARLSBORO,EARLSBORO HS,35.2682177,-96.8054268
1408,POTTAWATOMIE,TECUMSEH,BARNARD ES,35.2547531,-96.9338707
1409,POTTAWATOMIE,TECUMSEH,KROUCH ES,35.2587382,-96.944736
1410,POTTAWATOMIE,TECUMSEH,CROSS TIMBERS ES,35.2547644,-96.9500435
1411,POTTAWATOMIE,TECUMSEH,TECUMSEH MS,35.2591226,-96.9395324
1412,POTTAWATOMIE,TECUMSEH,TECUMSEH HS,35.2662601,-96.946591
1413,POTTAWATOMIE,SHAWNEE,SHAWNEE EC CTR,35.3538597,-96.9359256
1414,POTTAWATOMIE,SHAWNEE,HORACE MANN ES,35.3316005,-96.9059886
1415,POTTAWATOMIE,SHAWNEE,JEFFERSON ES,35.3389703,-96.9290363
1416,POTTAWATOMIE,SHAWNEE,SEQUOYAH ES,35.3472342,-96.9047848
1417,POTTAWATOMIE,SHAWNEE,WILL ROGERS ES,35.3610568,-96.9204942
1418,POTTAWATOMIE,SHAWNEE,SHAWNEE MS,35.3733519,-96.921752
1419,POTTAWATOMIE,SHAWNEE,SHAWNEE HS,35.3413791,-96.9378548
1420,POTTAWATOMIE,ASHER,ASHER ES,34.9893728,-96.926727
1421,POTTAWATOMIE,ASHER,ASHER HS,34.9893728,-96.926727
1422,POTTAWATOMIE,WANETTE,WANETTE ES,34.9624445,-97.0325267
1423,POTTAWATOMIE,WANETTE,WANETTE HS,34.9624445,-97.0325267
1424,POTTAWATOMIE,MAUD,MAUD ES,35.1310728,-96.7771374
1425,POTTAWATOMIE,MAUD,MAUD HS,35.1310728,-96.7771374
1426,PUSHMATAHA,ALBION,ALBION PUBLIC SCHOOL,34.6607744,-95.1023567
1427,PUSHMATAHA,TUSKAHOMA,TUSKAHOMA PUBLIC SCHOOL,34.614007,-95.2751385
1428,PUSHMATAHA,NASHOBA,NASHOBA PUBLIC SCHOOL,34.482328,-95.211458
1429,PUSHMATAHA,RATTAN,RATTAN ES,34.2007277,-95.4137316
1430,PUSHMATAHA,RATTAN,RATTAN JHS,34.2007277,-95.4137316
1431,PUSHMATAHA,RATTAN,RATTAN HS,34.2007277,-95.4137316
1432,PUSHMATAHA,CLAYTON,CRAIN ES,34.5891094,-95.3619213
1433,PUSHMATAHA,CLAYTON,CLAYTON HS,34.590712,-95.3659564
1434,PUSHMATAHA,ANTLERS,BRANTLY ES,34.2337004,-95.6198363
1435,PUSHMATAHA,ANTLERS,OBUCH MS,34.2337004,-95.6198363
1436,PUSHMATAHA,ANTLERS,ANTLERS HS,34.2337004,-95.6198363
1437,PUSHMATAHA,MOYERS,MOYERS ES,34.3259498,-95.6524366
1438,PUSHMATAHA,MOYERS,MOYERS HS,34.3259498,-95.6524366
1439,ROGER MILLS,LEEDEY,LEEDEY ES,35.8679689,-99.3423088
1440,ROGER MILLS,LEEDEY,LEEDEY HS,35.8679689,-99.3423088
1441,ROGER MILLS,REYDON,REYDON ES,35.6533254,-99.9201472
1442,ROGER MILLS,REYDON,REYDON HS,35.6533254,-99.9201472
1443,ROGER MILLS,CHEYENNE,CHEYENNE ES,35.6139371,-99.6714939
1444,ROGER MILLS,CHEYENNE,CHEYENNE HS,35.6139371,-99.6714939
1445,ROGER MILLS,SWEETWATER,SWEETWATER ES,35.4064538,-99.9120653
1446,ROGER MILLS,SWEETWATER,SWEETWATER HS,35.4064538,-99.9120653
1447,ROGER MILLS,HAMMON,HAMMON ES,35.6330731,-99.3816516
1448,ROGER MILLS,HAMMON,HAMMON HS,35.6330731,-99.3816516
1449,ROGERS,JUSTUS-TIAWAH,JUSTUS-TIAWAH PUBLIC SCHOOL,36.3079753,-95.5612056
1450,ROGERS,CLAREMORE,CLAREMONT ES,36.314115,-95.604526
1451,ROGERS,CLAREMORE,ROOSA ES,36.3280681,-95.5983538
1452,ROGERS,CLAREMORE,WESTSIDE ES,36.3073801,-95.6453204
1453,ROGERS,CLAREMORE,CATALAYAH ES,36.278933,-95.647463
1454,ROGERS,CLAREMORE,WILL ROGERS JHS,36.3281316,-95.6036948
1455,ROGERS,CLAREMORE,CLAREMORE HS,36.3290809,-95.6060605
1456,ROGERS,CATOOSA,J. W. SAM ES,36.1691591,-95.755302
1457,ROGERS,CATOOSA,CHEROKEE ES,36.1691591,-95.755302
1458,ROGERS,CATOOSA,HELEN PAUL LEARNING CTR,36.1691591,-95.755302
1459,ROGERS,CATOOSA,WELLS MS,36.1691591,-95.755302
1460,ROGERS,CATOOSA,CATOOSA HS,36.1691591,-95.755302
1461,ROGERS,CHELSEA,ART GOAD ES,36.5411018,-95.4383361
1462,ROGERS,CHELSEA,CHELSEA MS,36.5411018,-95.4383361
1463,ROGERS,CHELSEA,CHELSEA HS,36.5411018,-95.4383361
1464,ROGERS,OOLOGAH-TALALA,OOLOGAH-TALALA LOWER ES,36.4563332,-95.708491
1465,ROGERS,OOLOGAH-TALALA,OOLOGAH-TALALA UPPER ES,36.4563332,-95.708491
1466,ROGERS,OOLOGAH-TALALA,OOLOGAH-TALALA MS,36.4563332,-95.708491
1467,ROGERS,OOLOGAH-TALALA,OOLOGAH-TALALA HS,36.4563332,-95.708491
1468,ROGERS,INOLA,INOLA ES,36.1489551,-95.5087851
1469,ROGERS,INOLA,INOLA MS,36.1489551,-95.5087851
1470,ROGERS,INOLA,INOLA HS,36.1489551,-95.5087851
1471,ROGERS,SEQUOYAH,SEQUOYAH ES,36.371353,-95.560652
1472,ROGERS,SEQUOYAH,SEQUOYAH MS,36.3752141,-95.5611257
1473,ROGERS,SEQUOYAH,SEQUOYAH HS,36.3743127,-95.5587646
1474,ROGERS,FOYIL,FOYIL ES,36.433211,-95.521088
1475,ROGERS,FOYIL,FOYIL JHS,36.433211,-95.521088
1476,ROGERS,FOYIL,FOYIL HS,36.433211,-95.521088
1477,ROGERS,VERDIGRIS,VERDIGRIS ES,36.2349259,-95.6865945
1478,ROGERS,VERDIGRIS,VERDIGRIS UPPER ES,36.2341898,-95.6852585
1479,ROGERS,VERDIGRIS,VERDIGRIS JHS,36.2263804,-95.6895603
1480,ROGERS,VERDIGRIS,VERDIGRIS HS,36.2263804,-95.6895603
1481,SEMINOLE,JUSTICE,JUSTICE PUBLIC SCHOOL,35.1158728,-96.5097488
1482,SEMINOLE,SEMINOLE,WILSON ES,35.2257235,-96.6701999
1483,SEMINOLE,SEMINOLE,NORTHWOOD ES,35.2257235,-96.6701999
1484,SEMINOLE,SEMINOLE,SEMINOLE MS,35.2257235,-96.6701999
1485,SEMINOLE,SEMINOLE,SEMINOLE HS,35.2257235,-96.6701999
1486,SEMINOLE,WEWOKA,WEWOKA ES,35.1579119,-96.4922754
1487,SEMINOLE,WEWOKA,WEWOKA MS,35.1579119,-96.4922754
1488,SEMINOLE,WEWOKA,WEWOKA HS,35.1579119,-96.4922754
1489,SEMINOLE,BOWLEGS,BOWLEGS ES,35.144675,-96.669873
1490,SEMINOLE,BOWLEGS,BOWLEGS HS,35.144675,-96.669873
1491,SEMINOLE,KONAWA,KONAWA ES,34.9568921,-96.761946
1492,SEMINOLE,KONAWA,KONAWA MS,34.9568921,-96.761946
1493,SEMINOLE,KONAWA,KONAWA HS,34.9568921,-96.761946
1494,SEMINOLE,NEW LIMA,NEW LIMA ES,35.1716506,-96.5922049
1495,SEMINOLE,NEW LIMA,NEW LIMA HS,35.1716506,-96.5922049
1496,SEMINOLE,VARNUM,VARNUM ES,35.2863804,-96.6899729
1497,SEMINOLE,VARNUM,VARNUM HS,35.2863804,-96.6899729
1498,SEMINOLE,SASAKWA,SASAKWA ES,34.9482169,-96.525496
1499,SEMINOLE,SASAKWA,SASAKWA HS,34.9482169,-96.525496
1500,SEMINOLE,STROTHER,STROTHER ES,35.3644,-96.689413
1501,SEMINOLE,STROTHER,STROTHER HS,35.3644,-96.689413
1502,SEMINOLE,BUTNER,BUTNER ES,35.3414295,-96.4587352
1503,SEMINOLE,BUTNER,BUTNER HS,35.3414295,-96.4587352
1504,SEQUOYAH,LIBERTY,LIBERTY PUBLIC SCHOOL,35.4112795,-94.5125684
1505,SEQUOYAH,MARBLE CITY,MARBLE CITY PUBLIC SCHOOL,35.5807516,-94.8210065
1506,SEQUOYAH,BRUSHY,BRUSHY PUBLIC SCHOOL,35.5018727,-94.7434045
1507,SEQUOYAH,BELFONTE,BELFONTE PUBLIC SCHOOL,35.5667935,-94.5448482
1508,SEQUOYAH,BELFONTE,BELFONTE BELL ES (ADAIR CNTY),35.81453,-94.6285553
1509,SEQUOYAH,MOFFETT,MOFFETT PUBLIC SCHOOL,35.3902293,-94.445348
1510,SEQUOYAH,SALLISAW,LIBERTY ES,35.4583135,-94.7777989
1511,SEQUOYAH,SALLISAW,EASTSIDE ES,35.4572503,-94.7761611
1512,SEQUOYAH,SALLISAW,SALLISAW MS,35.4489307,-94.8141134
1513,SEQUOYAH,SALLISAW,SALLISAW HS,35.4510095,-94.8182442
1514,SEQUOYAH,VIAN,VIAN ES,35.4998034,-94.9685813
1515,SEQUOYAH,VIAN,VIAN MS,35.4998034,-94.9685813
1516,SEQUOYAH,VIAN,VIAN HS,35.4998034,-94.9685813
1517,SEQUOYAH,MULDROW,MULDROW ES,35.4062034,-94.5988306
1518,SEQUOYAH,MULDROW,MULDROW MS,35.4062034,-94.5988306
1519,SEQUOYAH,MULDROW,MULDROW HS,35.4062034,-94.5988306
1520,SEQUOYAH,GANS,GANS ES,35.388309,-94.692804
1521,SEQUOYAH,GANS,GANS HS,35.388309,-94.692804
1522,SEQUOYAH,ROLAND,ROLAND ES,35.4171643,-94.5169254
1523,SEQUOYAH,ROLAND,ROLAND JHS,35.4171643,-94.5169254
1524,SEQUOYAH,ROLAND,ROLAND HS,35.4171643,-94.5169254
1525,SEQUOYAH,GORE,GORE ES,35.5407722,-95.1222145
1526,SEQUOYAH,GORE,GORE UPPER ES,35.5407722,-95.1222145
1527,SEQUOYAH,GORE,GORE HS,35.5407722,-95.1222145
1528,SEQUOYAH,CENTRAL,CENTRAL ES,35.4485339,-94.7075001
1529,SEQUOYAH,CENTRAL,CENTRAL HS,35.4485339,-94.7075001
1530,STEPHENS,GRANDVIEW,GRANDVIEW PUBLIC SCHOOL,34.3689747,-97.963924
1531,STEPHENS,DUNCAN,EMERSON ES,34.5003478,-97.9573672
1532,STEPHENS,DUNCAN,HORACE MANN ES,34.5003478,-97.9573672
1533,STEPHENS,DUNCAN,WILL ROGERS PRE-K CTR,34.5003478,-97.9573672
1534,STEPHENS,DUNCAN,MARK TWAIN ES,34.5003478,-97.9573672
1535,STEPHENS,DUNCAN,WOODROW WILSON ES,34.5003478,-97.9573672
1536,STEPHENS,DUNCAN,PLATO ES,34.5003478,-97.9573672
1537,STEPHENS,DUNCAN,DUNCAN MS,34.5003478,-97.9573672
1538,STEPHENS,DUNCAN,DUNCAN HS,34.5003478,-97.9573672
1539,STEPHENS,COMANCHE,COMANCHE ES,34.362877,-97.9756111
1540,STEPHENS,COMANCHE,COMANCHE MS,34.362877,-97.9756111
1541,STEPHENS,COMANCHE,COMANCHE HS,34.362877,-97.9756111
1542,STEPHENS,MARLOW,MARLOW ES,34.6473735,-97.9590736
1543,STEPHENS,MARLOW,MARLOW MS,34.6473735,-97.9590736
1544,STEPHENS,MARLOW,MARLOW HS,34.6473735,-97.9590736
1545,STEPHENS,VELMA-ALMA,VELMA-ALMA ES,34.4576163,-97.6734429
1546,STEPHENS,VELMA-ALMA,VELMA-ALMA MS,34.4576163,-97.6734429
1547,STEPHENS,VELMA-ALMA,VELMA-ALMA HS,34.4576163,-97.6734429
1548,STEPHENS,EMPIRE,EMPIRE ES,34.4643017,-97.8076254
1549,STEPHENS,EMPIRE,EMPIRE MS,34.4643017,-97.8076254
1550,STEPHENS,EMPIRE,EMPIRE HS,34.4643017,-97.8076254
1551,STEPHENS,CENTRAL HIGH,CENTRAL HIGH ES,34.5950105,-98.0893831
1552,STEPHENS,CENTRAL HIGH,CENTRAL HIGH JHS,34.5950105,-98.0893831
1553,STEPHENS,CENTRAL HIGH,CENTRAL HIGH HS,34.5950105,-98.0893831
1554,STEPHENS,BRAY-DOYLE,BRAY-DOYLE ES,34.6339848,-97.8172132
1555,STEPHENS,BRAY-DOYLE,BRAY-DOYLE HS,34.6339848,-97.8172132
1556,TEXAS,OPTIMA,OPTIMA PUBLIC SCHOOL,36.8857621,-101.2977322
1557,TEXAS,STRAIGHT,STRAIGHT PUBLIC SCHOOL,36.8780176,-101.4492623
1558,TEXAS,YARBROUGH,YARBROUGH ES,36.5953038,-101.6365504
1559,TEXAS,YARBROUGH,YARBROUGH HS,36.5953038,-101.6365504
1560,TEXAS,GUYMON,ACADEMY ES,36.6850584,-101.4854549
1561,TEXAS,GUYMON,ACADEMY ES,36.6850584,-101.4854549
1562,TEXAS,GUYMON,NORTHEAST ES,36.690691,-101.4800028
1563,TEXAS,GUYMON,HOMER LONG ES,36.6930718,-101.4880568
1564,TEXAS,GUYMON,HOMER LONG ES,36.6930718,-101.4880568
1565,TEXAS,GUYMON,SALYER ES,36.6828041,-101.4815493
1566,TEXAS,GUYMON,CARRIER ES,36.6785746,-101.4693687
1567,TEXAS,GUYMON,NORTH PARK ES,36.6921136,-101.4785512
1568,TEXAS,GUYMON,PRAIRIE ES,36.6739043,-101.4613986
1569,TEXAS,GUYMON,CENTRAL JHS,36.6860238,-101.4877978
1570,TEXAS,GUYMON,GUYMON HS,36.6978446,-101.4867488
1571,TEXAS,HARDESTY,HARDESTY ES,36.6158185,-101.191676
1572,TEXAS,HARDESTY,HARDESTY HS,36.6158185,-101.191676
1573,TEXAS,HOOKER,HOOKER ES,36.8600261,-101.2134954
1574,TEXAS,HOOKER,HOOKER HS,36.8600261,-101.2134954
1575,TEXAS,TYRONE,TYRONE ES,36.9583218,-101.068022
1576,TEXAS,TYRONE,TYRONE HS,36.9583218,-101.068022
1577,TEXAS,GOODWELL,GOODWELL ES,36.5937954,-101.6320056
1578,TEXAS,GOODWELL,GOODWELL HS,36.5937954,-101.6320056
1579,TEXAS,TEXHOMA,TEXHOMA ES,36.5042099,-101.7835659
1580,TEXAS,TEXHOMA,TEXHOMA HS,36.5042099,-101.7835659
1581,TILLMAN,DAVIDSON,DAVIDSON ES,34.24092,-99.0756322
1582,TILLMAN,TIPTON,TIPTON ES,34.4950914,-99.1406509
1583,TILLMAN,TIPTON,TIPTON HS,34.4950914,-99.1406509
1584,TILLMAN,FREDERICK,FREDERICK ES,34.3971911,-99.011143
1585,TILLMAN,FREDERICK,FREDERICK MS,34.3971911,-99.011143
1586,TILLMAN,FREDERICK,FREDERICK HS,34.3971911,-99.011143
1587,TILLMAN,GRANDFIELD,GRANDFIELD ES,34.2305629,-98.6823723
1588,TILLMAN,GRANDFIELD,GRANDFIELD HS,34.2305629,-98.6823723
1589,TULSA,KEYSTONE,KEYSTONE PUBLIC SCHOOL,36.1280273,-96.257323
1590,TULSA,TULSA CHARTER: SCHL ARTS/SCI.,TULSA SCHL ARTS SCIENCES MS,36.1585896,-96.0056248
1591,TULSA,TULSA CHARTER: SCHL ARTS/SCI.,TULSA SCHL ARTS SCIENCES HS,36.1585896,-96.0056248
1592,TULSA,TULSA CHARTER: KIPP TULSA,KIPP TULSA ACAD. COLLEGE PREP.,36.1846927,-95.9679508
1593,TULSA,TULSA LEGACY CHARTER SCHL INC,TULSA LEGACY CHARTER SCHL INC,36.2456603,-95.9945776
1594,TULSA,TULSA CHARTER: COLLEGE BOUND,COLLEGE BOUND ACADEMY CHARTER,36.1259658,-95.8645302
1595,TULSA,TULSA CHARTER: HONOR ACADEMY,TULSA HONOR ACADEMY CHARTER,36.1259658,-95.8645302
1596,TULSA,TULSA CHARTER: COLLEGIATE HALL,COLLEGIATE HALL CHARTER SCHOOL,36.0816792,-95.9768963
1597,TULSA,DEBORAH BROWN (CHARTER),DEBORAH BROWN COMMUNITY SCHOOL,36.157102,-95.989613
1598,TULSA,DOVE SCHOOLS OF TULSA,DOVE SCH OF DISCOVERY ES TULSA,36.0936149,-95.8964863
1599,TULSA,DOVE SCHOOLS OF TULSA,DOVE SCIENCE ACADEMY TULSA JHS,36.1556719,-95.8872426
1600,TULSA,DOVE SCHOOLS OF TULSA,DOVE SCIENCE ACADEMY TULSA JHS,36.1556719,-95.8872426
1601,TULSA,DOVE SCHOOLS OF TULSA,DOVE SCIENCE ACADEMY TULSA HS,36.1556719,-95.8872426
1602,TULSA,DOVE SCHOOLS OF TULSA,DOVE SCIENCE ACADEMY TULSA HS,36.1556719,-95.8872426
1603,TULSA,SANKOFA MIDDLE SCHL (CHARTER),SANKOFA MIDDLE SCHOOL,36.1564449,-95.9907765
1604,TULSA,LANGSTON HUGHES ACAD ARTS-TECH,LANGSTON HUGHES ACAD ARTS-TECH,36.2504368,-95.9631865
1605,TULSA,TULSA,ACADEMY CENTRAL ES,36.1810429,-96.0127487
1606,TULSA,TULSA,ANDERSON ES,36.1959781,-95.964207
1607,TULSA,TULSA,HENRY ZARROW INTERNATIONAL SCH,36.1108755,-95.9116423
1608,TULSA,TULSA,BELL ES,36.1594653,-95.9068906
1609,TULSA,TULSA,BURROUGHS ES,36.1832823,-95.9950735
1610,TULSA,TULSA,CARNEGIE ES,36.0831656,-95.9288013
1611,TULSA,TULSA,CELIA CLINTON ES,36.180018,-95.9414267
1612,TULSA,TULSA,CHOUTEAU ES,36.1575313,-96.0398787
1613,TULSA,TULSA,COLUMBUS ES,36.1245989,-95.8581469
1614,TULSA,TULSA,COOPER ES,36.1363761,-95.8404939
1615,TULSA,TULSA,CLINTON WEST ES,36.1037745,-96.018286
1616,TULSA,TULSA,DUAL LANGUAGE ACADEMY,36.2235519,-95.9636799
1617,TULSA,TULSA,ECDC BUNCHE,36.2313358,-95.9935244
1618,TULSA,TULSA,EISENHOWER INTERNATIONAL ES,36.0835748,-95.943455
1619,TULSA,TULSA,ELIOT ES,36.111213,-95.9717746
1620,TULSA,TULSA,EMERSON ES,36.167648,-95.9949908
1621,TULSA,TULSA,EUGENE FIELD ES,36.1308145,-96.0047233
1622,TULSA,TULSA,GILCREASE ES,36.2339118,-95.9950302
1623,TULSA,TULSA,GRIMES ES,36.0831132,-95.9412187
1624,TULSA,TULSA,HAWTHORNE ES,36.2035203,-95.9766186
1625,TULSA,TULSA,HAMILTON ES,36.1873171,-95.9070243
1626,TULSA,TULSA,PATRICK HENRY ES,36.1036582,-95.9350396
1627,TULSA,TULSA,HOOVER ES,36.1296057,-95.9180101
1628,TULSA,TULSA,JACKSON ES,36.184802,-95.930553
1629,TULSA,TULSA,JONES ES,36.139979,-95.8964863
1630,TULSA,TULSA,KENDALL-WHITTIER ES,36.1537231,-95.9537695
1631,TULSA,TULSA,KERR ES,36.1570704,-95.847995
1632,TULSA,TULSA,KEY ES,36.0814772,-95.9120739
1633,TULSA,TULSA,LANIER ES,36.1358502,-95.9398564
1634,TULSA,TULSA,LEE ES,36.134625,-95.9836519
1635,TULSA,TULSA,LEWIS AND CLARK ES,36.1511829,-95.8502521
1636,TULSA,TULSA,LINDBERGH ES,36.1489043,-95.8763528
1637,TULSA,TULSA,MACARTHUR ES,36.1302636,-95.8963243
1638,TULSA,TULSA,MARSHALL ES,36.0816792,-95.9768963
1639,TULSA,TULSA,MAYO DEMONSTRATION ES,36.1471299,-95.9508314
1640,TULSA,TULSA,MCCLURE ES,36.0743652,-95.964356
1641,TULSA,TULSA,MCKINLEY ES,36.1689203,-95.9011657
1642,TULSA,TULSA,MITCHELL ES,36.1654467,-95.8948286
1643,TULSA,TULSA,OWEN ES,36.1707388,-95.9260813
1644,TULSA,TULSA,PEARY ES,36.1374166,-95.8555795
1645,TULSA,TULSA,PENN ES,36.2240251,-95.9612527
1646,TULSA,TULSA,ROBERTSON ES,36.0926813,-96.0234861
1647,TULSA,TULSA,SALK ES,36.081179,-95.8907763
1648,TULSA,TULSA,SEQUOYAH ES,36.1646923,-95.954405
1649,TULSA,TULSA,SKELLY ES,36.1204597,-95.8756949
1650,TULSA,TULSA,SPRINGDALE ES,36.1766059,-95.9552147
1651,TULSA,TULSA,PROJECT ACCEPT TRAICE ES,36.1585896,-96.0056248
1652,TULSA,TULSA,MARK TWAIN ES,36.1492188,-96.0394388
1653,TULSA,TULSA,WHITMAN ES,36.2106867,-95.9816504
1654,TULSA,TULSA,WRIGHT ES,36.097699,-95.9783687
1655,TULSA,TULSA,DISNEY ES,36.1271148,-95.844648
1656,TULSA,TULSA,GRISSOM ES,36.0665392,-95.8961426
1657,TULSA,TULSA,CARVER MS,36.175896,-95.985149
1658,TULSA,TULSA,DANIEL WEBSTER MS,36.1037745,-96.018286
1659,TULSA,TULSA,EDISON PREPARATORY MS,36.1038812,-95.9473001
1660,TULSA,TULSA,MONROE DEMONSTRATION MS,36.2235519,-95.9636799
1661,TULSA,TULSA,THOREAU DEMONSTRATION ACADEMY,36.0596915,-95.8926089
1662,TULSA,TULSA,TRAICE MS,36.2126224,-95.9500473
1663,TULSA,TULSA,CENTRAL JHS,36.162906,-96.0271166
1664,TULSA,TULSA,EAST CENTRAL JHS,36.134064,-95.8410708
1665,TULSA,TULSA,HALE JHS,36.1303674,-95.8992914
1666,TULSA,TULSA,MCLAIN JHS,36.2249116,-95.9732124
1667,TULSA,TULSA,MEMORIAL JHS,36.0822022,-95.8932367
1668,TULSA,TULSA,WILL ROGERS COLLEGE JHS,36.153701,-95.933252
1669,TULSA,TULSA,TULSA MET JHS,36.1846452,-95.9076349
1670,TULSA,TULSA,CENTRAL HS,36.162906,-96.0271166
1671,TULSA,TULSA,EAST CENTRAL HS,36.1470181,-95.8409273
1672,TULSA,TULSA,THOMAS EDISON PREPARATORY HS,36.1038812,-95.9473001
1673,TULSA,TULSA,NATHAN HALE HS,36.1324199,-95.8970628
1674,TULSA,TULSA,MCLAIN HS FOR SCIENCE AND TECH,36.2249116,-95.9732124
1675,TULSA,TULSA,MEMORIAL HS,36.0785181,-95.9143093
1676,TULSA,TULSA,WILL ROGERS COLLEGE HS,36.153701,-95.933252
1677,TULSA,TULSA,BOOKER T. WASHINGTON HS,36.1882748,-95.9707145
1678,TULSA,TULSA,DANIEL WEBSTER HS,36.1066611,-96.0141298
1679,TULSA,TULSA,TULSA MET HS,36.1846452,-95.9076349
1680,TULSA,TULSA,TRAICE,36.2126224,-95.9500473
1681,TULSA,TULSA,KIPP TULSA ACAD. COLLEGE PREP.,36.1846927,-95.9679508
1682,TULSA,TULSA,TULSA LEGACY CHARTER SCHL INC,36.2456603,-95.9945776
1683,TULSA,TULSA,COLLEGE BOUND ACADEMY CHARTER,36.1259658,-95.8645302
1684,TULSA,TULSA,TULSA HONOR ACADEMY CHARTER,36.1259658,-95.8645302
1685,TULSA,TULSA,COLLEGIATE HALL CHARTER SCHOOL,36.0791245,-95.9763593
1686,TULSA,TULSA,TULSA SCHL ARTS SCIENCES MS,36.1585896,-96.0056248
1687,TULSA,TULSA,TULSA SCHL ARTS SCIENCES HS,36.1585896,-96.0056248
1688,TULSA,SAND SPRINGS,SAND SPRINGS EC CTR,36.1396481,-96.1103739
1689,TULSA,SAND SPRINGS,ANGUS VALLEY ES,36.1396481,-96.1103739
1690,TULSA,SAND SPRINGS,NORTHWOODS FINE ARTS ACADEMY,36.1396481,-96.1103739
1691,TULSA,SAND SPRINGS,GARFIELD ES,36.1396481,-96.1103739
1692,TULSA,SAND SPRINGS,LIMESTONE ES,36.1396481,-96.1103739
1693,TULSA,SAND SPRINGS,PRATT ES,36.1396481,-96.1103739
1694,TULSA,SAND SPRINGS,CLYDE BOYD MS,36.1396481,-96.1103739
1695,TULSA,SAND SPRINGS,CENTRAL 9TH GRADE CTR,36.1396481,-96.1103739
1696,TULSA,SAND SPRINGS,CHARLES PAGE HS,36.1396481,-96.1103739
1697,TULSA,BROKEN ARROW,CREEKWOOD EARLY CHILDHOOD CTR,36.0745687,-95.772977
1698,TULSA,BROKEN ARROW,ARROW SPRINGS EARLY CHILDHOOD,36.0113673,-95.7896755
1699,TULSA,BROKEN ARROW,ARROW SPRINGS EARLY CHILDHOOD,36.0113673,-95.7896755
1700,TULSA,BROKEN ARROW,ASPEN CREEK EC CENTER,36.0028844,-95.7977965
1701,TULSA,BROKEN ARROW,PARKLANE EARLY CHILDHOOD CTR,36.052583,-95.716391
1702,TULSA,BROKEN ARROW,RHOADES ES,36.0587371,-95.7872893
1703,TULSA,BROKEN ARROW,ARROWHEAD ES,36.0658397,-95.8036668
1704,TULSA,BROKEN ARROW,VANDEVER ES,36.0250648,-95.8054736
1705,TULSA,BROKEN ARROW,HIGHLAND PARK ES,36.037653,-95.7007938
1706,TULSA,BROKEN ARROW,LYNN WOOD ES,36.0385064,-95.8077802
1707,TULSA,BROKEN ARROW,LEISURE PARK ES,36.0092255,-95.8053661
1708,TULSA,BROKEN ARROW,SPRING CREEK ES,35.9867274,-95.7862526
1709,TULSA,BROKEN ARROW,WOLF CREEK ES,36.0188934,-95.8256953
1710,TULSA,BROKEN ARROW,COUNTRY LANE PRIMARY ES,36.0889654,-95.7895411
1711,TULSA,BROKEN ARROW,LIBERTY ES,36.1001669,-95.7454405
1712,TULSA,BROKEN ARROW,COUNTRY LANE INTERMEDIATE ES,36.0899798,-95.7889671
1713,TULSA,BROKEN ARROW,CREEKWOOD ES,36.073712,-95.7730953
1714,TULSA,BROKEN ARROW,ASPEN CREEK ES,36.0065836,-95.8219432
1715,TULSA,BROKEN ARROW,OAK CREST ES,36.0367155,-95.7876966
1716,TULSA,BROKEN ARROW,TIMBER RIDGE ES,36.0607963,-95.7490253
1717,TULSA,BROKEN ARROW,CENTENNIAL MS,36.0899798,-95.7889671
1718,TULSA,BROKEN ARROW,SEQUOYAH MS,36.0240901,-95.7952112
1719,TULSA,BROKEN ARROW,CHILDERS MS,35.9873738,-95.785557
1720,TULSA,BROKEN ARROW,OLIVER MS,36.018616,-95.8269498
1721,TULSA,BROKEN ARROW,ONETA RIDGE MS,36.0373863,-95.7047515
1722,TULSA,BROKEN ARROW,BROKEN ARROW FRESHMAN ACADEMY,36.0164967,-95.7896417
1723,TULSA,BROKEN ARROW,BROKEN ARROW HS,36.0739944,-95.7655784
1724,TULSA,BIXBY,CENTRAL ES,35.9396893,-95.8800295
1725,TULSA,BIXBY,BIXBY NORTH ES,35.9905462,-95.8983014
1726,TULSA,BIXBY,NORTH INTERMEDIATE SCHOOL,35.990206,-95.899859
1727,TULSA,BIXBY,CENTRAL INTERMEDIATE SCHOOL,35.9305189,-95.8748286
1728,TULSA,BIXBY,NORTHEAST ES AND IS,35.9748106,-95.844006
