14I002170,BROADMOORE ELEMENTARY,45263.4936
14I002175,EASTLAKE ELEMENTARY,45160.5889
14I002180,BRYANT ELEMENTARY,43132.4785
14I002181,WAYLAND BONDS ELEMENTARY,47566.8548
14I002185,OAKRIDGE ELEMENTARY,46295.1258
14I002190,HERITAGE TRAILS ELEMENTARY,43066.2451
14I002195,SOUTH LAKE ELEMENTARY SCHOOL,45420.4084
14I002610,BRINK JR HIGH SCHOOL,46703.3648
14I002650,HIGHLAND EAST JR HIGH SCHOOL,46469.421
14I002655,HIGHLAND WEST JR HIGH SCHOOL,43565.7955
14I002680,WEST JR HIGH SCHOOL,45092.6207
14I002685,CENTRAL JR HIGH SCHOOL,46337.2074
14I002705,MOORE HIGH SCHOOL,46752.5811
14I002710,WESTMOORE HIGH SCHOOL,46853.6135
14I002715,SOUTHMOORE HIGH SCHOOL,46385.9549
14I029107,LAKEVIEW ELEMENTARY,46803.757
14I029110,ADAMS ELEMENTARY,43912.139
14I029112,CLEVELAND ELEMENTARY,45759.8487
14I029115,JACKSON ELEMENTARY,44168.6305
14I029120,JEFFERSON ELEMENTARY,45950.5847
14I029122,KENNEDY ELEMENTARY,44800.9266
14I029125,LINCOLN ELEMENTARY,45241.8819
14I029130,MADISON ELEMENTARY,45032.1133
14I029135,McKINLEY ELEMENTARY,43878.0282
14I029140,EISENHOWER ELEMENTARY,40593.7538
14I029145,WILSON ELEMENTARY,44133.6432
14I029150,MONROE ELEMENTARY,44056.8182
14I029151,RONALD REAGAN ELEMENTARY,42850.2639
14I029153,ROOSEVELT ELEMENTARY,44161.5995
14I029155,TRUMAN ELEMENTARY,47653.4962
14I029160,WASHINGTON ELEMENTARY,45144.59
14I029165,TRUMAN PRIMARY SCHOOL,43323.6526
14I029500,IRVING MIDDLE SCHOOL,45492.1828
14I029501,ALCOTT MIDDLE SCHOOL,44197.0012
14I029502,LONGFELLOW MIDDLE SCHOOL,46894.2978
14I029504,WHITTIER MIDDLE SCHOOL,45686.5926
14I029705,NORMAN HIGH SCHOOL,47117.3304
14I029710,NORMAN NORTH HIGH SCHOOL,48586.5285
14I040105,KATHERINE I. DAILY ELEMENTARY,45149.2308
14I040110,PIONEER INTERMEDIATE ELEMENTARY SCHOOL,49072.35
14I040115,JOHN K. HUBBARD ELEMENTARY,48145.9535
14I040510,CURTIS INGE MIDDLE SCHOOL,48553.9114
14I040705,NOBLE HIGH SCHOOL,49683.6836
14I057105,LEXINGTON ELEMENTARY,40466.7529
14I057110,LEXINGTON INTERMEDIATE SCHOOL,38701.1838
14I057510,LEXINGTON MIDDLE SCHOOL,44453.7327
14I057705,LEXINGTON HIGH SCHOOL,42036.2117
14I070105,LITTLE AXE ELEMENTARY,41077.3068
14I070505,LITTLE AXE MIDDLE SCHOOL,42148.005
14I070715,LITTLE AXE HIGH SCHOOL,43342.5613
15C004105,COTTONWOOD ELEMENTARY,42771.288
15I001105,EMERSON ELEMENTARY,43864.1677
15I001505,WALLACE BYRD MIDDLE SCHOOL,46201.0196
15I001705,COALGATE HIGH SCHOOL,46332.464
15I002105,TUPELO ELEMENTARY,42968.4967
15I002705,TUPELO HIGH SCHOOL,47239.4217
16C048105,FLOWER MOUND ELEMENTARY,46162.7405
16C049105,BISHOP ELEMENTARY,45970.8253
