RecordNumber,YR,SchoolCode,DistrictCode,Site,Avgincome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS
14052,2015,72I009130,72I009,"ANDERSEN ELEMENTARY",69989.81,48711.63,0.05,0.13,0.37,0.316,0.33,0.57,0.10
15814,2016,72I009130,72I009,"ANDERSEN ELEMENTARY",71735.71,50043.66,0.05,0.12,0.36,0.333,0.33,0.56,0.10
12143,2014,72I001111,72I001,"ANDERSON ELEMENTARY",56448.00,56175.00,0.09,0.23,0.48,1.070,0.25,0.59,0.15
11806,2014,57C052105,57C052,"ANDERSON ELEMENTARY",72110.00,70151.00,0.07,0.07,0.08,0.510,0.22,0.69,0.09
13570,2015,57C052105,57C052,"ANDERSON ELEMENTARY",77124.78,75192.12,0.07,0.07,0.10,0.502,0.20,0.70,0.10
13905,2015,72I001111,72I001,"ANDERSON ELEMENTARY",57115.75,57723.51,0.09,0.23,0.49,1.113,0.26,0.59,0.15
15329,2016,57C052105,57C052,"ANDERSON ELEMENTARY",79039.54,74683.45,0.07,0.09,0.14,0.567,0.18,0.72,0.10
15662,2016,72I001111,72I001,"ANDERSON ELEMENTARY",58190.81,60320.18,0.08,0.23,0.50,1.079,0.26,0.59,0.15
11638,2014,55I012165,55I012,"ANGIE DEBO ELEMENTARY",98360.00,71296.00,0.04,0.08,0.20,0.310,0.51,0.45,0.04
13407,2015,55I012165,55I012,"ANGIE DEBO ELEMENTARY",100166.47,74593.66,0.04,0.08,0.20,0.321,0.51,0.45,0.04
15164,2016,55I012165,55I012,"ANGIE DEBO ELEMENTARY",101694.02,77419.43,0.03,0.08,0.22,0.340,0.52,0.44,0.04
12225,2014,72I002104,72I002,"ANGUS VALLEY ELEMENTARY",60469.00,30048.00,0.06,0.12,0.30,0.500,0.18,0.69,0.13
13987,2015,72I002104,72I002,"ANGUS VALLEY ELEMENTARY",60283.61,30987.13,0.06,0.13,0.32,0.484,0.18,0.67,0.15
15747,2016,72I002104,72I002,"ANGUS VALLEY ELEMENTARY",63027.69,32375.25,0.06,0.11,0.29,0.398,0.17,0.70,0.13
11988,2014,64I013705,64I013,"ANTLERS HIGH SCHOOL",40738.00,19985.00,0.10,0.34,0.50,0.630,0.12,0.68,0.20
13750,2015,64I013705,64I013,"ANTLERS HIGH SCHOOL",46441.22,19830.47,0.12,0.33,0.44,0.582,0.13,0.66,0.21
15507,2016,64I013705,64I013,"ANTLERS HIGH SCHOOL",51170.45,21178.04,0.10,0.31,0.32,0.565,0.14,0.65,0.20
10722,2014,08I056105,08I056,"APACHE ELEMENTARY",54684.00,45123.00,0.13,0.13,0.28,0.790,0.15,0.73,0.12
12488,2015,08I056105,08I056,"APACHE ELEMENTARY",60693.56,44342.99,0.09,0.10,0.25,0.796,0.18,0.71,0.11
14251,2016,08I056105,08I056,"APACHE ELEMENTARY",57878.19,43627.17,0.13,0.17,0.37,0.844,0.19,0.68,0.13
10724,2014,08I056705,08I056,"APACHE HIGH SCHOOL",54684.00,45123.00,0.13,0.13,0.28,0.750,0.15,0.73,0.12
12490,2015,08I056705,08I056,"APACHE HIGH SCHOOL",60693.56,44342.99,0.09,0.10,0.25,0.758,0.18,0.71,0.11
14253,2016,08I056705,08I056,"APACHE HIGH SCHOOL",57878.19,43627.17,0.13,0.17,0.37,0.790,0.19,0.68,0.13
10723,2014,08I056505,08I056,"APACHE MIDDLE SCHOOL",54684.00,45123.00,0.13,0.13,0.28,0.720,0.15,0.73,0.12
12489,2015,08I056505,08I056,"APACHE MIDDLE SCHOOL",60693.56,44342.99,0.09,0.10,0.25,0.710,0.18,0.71,0.11
14252,2016,08I056505,08I056,"APACHE MIDDLE SCHOOL",57878.19,43627.17,0.13,0.17,0.37,0.741,0.19,0.68,0.13
11570,2014,55I001102,55I001,"APOLLO ELEMENTARY",62910.00,48980.00,0.06,0.16,0.42,0.860,0.32,0.57,0.11
13339,2015,55I001102,55I001,"APOLLO ELEMENTARY",63282.81,50214.98,0.06,0.17,0.40,0.863,0.32,0.58,0.11
15097,2016,55I001102,55I001,"APOLLO ELEMENTARY",63930.75,52049.84,0.06,0.16,0.43,0.863,0.32,0.58,0.10
10865,2014,14I002135,14I002,"APPLE CREEK ELEMENTARY",72627.00,41624.00,0.05,0.09,0.26,0.480,0.26,0.65,0.09
12633,2015,14I002135,14I002,"APPLE CREEK ELEMENTARY",74017.72,43667.52,0.05,0.09,0.28,0.444,0.26,0.66,0.09
14395,2016,14I002135,14I002,"APPLE CREEK ELEMENTARY",74645.48,45730.80,0.04,0.08,0.29,0.508,0.26,0.65,0.08
11038,2014,20I005105,20I005,"ARAPAHO-BUTLER ELEMENTARY",63156.00,69165.00,0.01,0.07,0.17,0.410,0.14,0.76,0.10
12806,2015,20I005105,20I005,"ARAPAHO-BUTLER ELEMENTARY",68109.83,69639.22,0.01,0.08,0.30,0.411,0.15,0.74,0.11
14565,2016,20I005105,20I005,"ARAPAHO-BUTLER ELEMENTARY",63223.37,65598.56,0.00,0.14,0.22,0.445,0.16,0.72,0.11
11039,2014,20I005715,20I005,"ARAPAHO-BUTLER HIGH SCHOOL",63156.00,69165.00,0.01,0.07,0.17,0.370,0.14,0.76,0.10
12807,2015,20I005715,20I005,"ARAPAHO-BUTLER HIGH SCHOOL",68109.83,69639.22,0.01,0.08,0.30,0.363,0.15,0.74,0.11
14566,2016,20I005715,20I005,"ARAPAHO-BUTLER HIGH SCHOOL",63223.37,65598.56,0.00,0.14,0.22,0.379,0.16,0.72,0.11
11573,2014,55I001110,55I001,"ARBOR GROVE ELEMENTARY",62910.00,48980.00,0.06,0.16,0.42,0.920,0.32,0.57,0.11
13342,2015,55I001110,55I001,"ARBOR GROVE ELEMENTARY",63282.81,50214.98,0.06,0.17,0.40,0.929,0.32,0.58,0.11
15100,2016,55I001110,55I001,"ARBOR GROVE ELEMENTARY",63930.75,52049.84,0.06,0.16,0.43,0.908,0.32,0.58,0.10
10792,2014,10I019705,10I019,"ARDMORE HIGH SCHOOL",50492.00,70909.00,0.08,0.23,0.48,0.780,0.17,0.67,0.17
12559,2015,10I019705,10I019,"ARDMORE HIGH SCHOOL",51315.94,56276.21,0.07,0.21,0.44,0.800,0.17,0.64,0.19
14321,2016,10I019705,10I019,"ARDMORE HIGH SCHOOL",52524.04,56464.17,0.07,0.20,0.45,0.800,0.17,0.65,0.18
10791,2014,10I019505,10I019,"ARDMORE MIDDLE SCHOOL",50492.00,70909.00,0.08,0.23,0.48,0.830,0.17,0.67,0.17
12558,2015,10I019505,10I019,"ARDMORE MIDDLE SCHOOL",51315.94,56276.21,0.07,0.21,0.44,0.889,0.17,0.64,0.19
14320,2016,10I019505,10I019,"ARDMORE MIDDLE SCHOOL",52524.04,56464.17,0.07,0.20,0.45,0.890,0.17,0.65,0.18
11346,2014,40I091715,40I091,"ARKOMA HIGH SCHOOL",34011.00,14450.00,0.13,0.32,0.35,0.810,0.06,0.66,0.28
