RecordNumber,Yr,County,DistrictName,DistrictCode,DistrictPop,AvgIncome,AvgPropVal,Unemployment,Poverty,SingleParentFam,StdntOffdr,OffnsOffdr,NCNTGang,CollegeEd,HSDiploma,BelowHS,FRL
3739,2015,CADDO,CEMENT,08I160,1654,49423.02,41790.45,0.09,0.11,0.36,0.1,0.7,0.25,0.00,0.00,0.00,0.660
3737,2015,CADDO,CYRIL,08I064,1644,44547.95,22266.93,0.11,0.10,0.22,0.1,0.8,0.10,190.00,1.50,0.00,0.611
3219,2014,CADDO,CYRIL,08I064,1746,44323.44,23209.88,0.08,0.11,0.24,172.0,2.5,0.00,0.79,0.10,0.12,0.628
4254,2016,CADDO,CYRIL,08I064,1786,45483.89,18897.38,0.11,0.16,0.16,385.0,1.0,0.00,0.18,0.74,0.09,0.683
4258,2016,CADDO,"FORT COBB-BROXTON",08I167,1835,51494.01,25787.81,0.07,0.17,0.31,344.0,4.0,0.00,0.22,0.66,0.13,0.779
3741,2015,CADDO,"FORT COBB-BROXTON",08I167,1840,50213.38,26009.60,0.06,0.20,0.34,0.2,0.7,0.13,108.67,2.00,0.00,0.684
3223,2014,CADDO,"FORT COBB-BROXTON",08I167,1972,51575.72,25729.62,0.09,0.24,0.34,169.5,1.0,0.00,0.67,0.14,0.19,0.720
3220,2014,CADDO,GRACEMONT,08I086,846,53966.06,37147.85,0.05,0.17,0.23,0.0,0.0,0.00,0.72,0.13,0.15,0.752
4255,2016,CADDO,GRACEMONT,08I086,917,58214.20,31975.45,0.06,0.18,0.38,46.7,2.7,1.00,0.13,0.75,0.12,0.679
3738,2015,CADDO,GRACEMONT,08I086,878,56272.10,35658.90,0.06,0.18,0.32,0.1,0.7,0.14,0.00,0.00,0.00,0.640
3740,2015,CADDO,HINTON,08I161,5167,59445.03,55052.78,0.05,0.20,0.39,0.1,0.7,0.18,339.00,1.00,0.00,0.524
3222,2014,CADDO,HINTON,08I161,5075,56767.39,54278.27,0.05,0.21,0.36,0.0,0.0,0.00,0.71,0.20,0.09,0.470
4257,2016,CADDO,HINTON,08I161,5041,61147.64,57905.48,0.06,0.17,0.36,238.3,2.3,0.00,0.11,0.70,0.19,0.638
4249,2016,CADDO,HYDRO-EAKLY,08I011,2459,56446.58,51092.25,0.04,0.14,0.23,0.0,0.0,0.00,0.18,0.68,0.14,0.605
3732,2015,CADDO,HYDRO-EAKLY,08I011,2423,55737.20,49326.03,0.05,0.14,0.23,0.2,0.7,0.16,0.00,0.00,0.00,0.531
3214,2014,CADDO,HYDRO-EAKLY,08I011,2408,53422.20,42954.91,0.06,0.15,0.24,0.0,0.0,0.00,0.65,0.16,0.19,0.587
3215,2014,CADDO,"LOOKEBA SICKLES",08I012,858,53471.13,27426.97,0.04,0.20,0.31,131.0,2.5,0.00,0.69,0.14,0.17,0.714
4250,2016,CADDO,"LOOKEBA SICKLES",08I012,912,57174.03,26738.23,0.05,0.12,0.25,0.0,0.0,0.00,0.17,0.68,0.15,0.800
3733,2015,CADDO,"LOOKEBA SICKLES",08I012,881,60115.58,26544.29,0.04,0.12,0.27,0.2,0.7,0.14,278.00,2.00,0.00,0.604
3744,2015,CANADIAN,BANNER,09C031,2018,94597.33,222266.50,0.08,0.08,0.24,0.3,0.6,0.13,0.00,0.00,0.00,0.526
3226,2014,CANADIAN,BANNER,09C031,1793,97164.27,242833.76,0.07,0.10,0.28,0.0,0.0,0.00,0.67,0.10,0.22,0.429
