RecordNumber,YR,SchoolCode,DistrictCode,Site,SeniorGradRate,DropOutRate,AvgSeniorGPA,CTSeniorsOSTP,CarTechCompletion,AvgACTScore,ComplColgCourses,OutOfStateCollege,InStateCollege,CollegeFreshRemed,GPAAbove2,NatlACTaverage,SDEgroup
6607,2016,33I025705,33I025,ELDORADO HIGH SCHOOL,1.00,0.00,**,0.33,,**,0.66,0.17,,,,,
6608,2016,33I035705,33I035,OLUSTEE HIGH SCHOOL,1.00,0.09,2.67,0.20,,**,0.70,0.00,,,,,
6609,2016,33I054705,33I054,BLAIR HIGH SCHOOL,1.00,0.00,FTR,0.58,,19.64,FTR,FTR,,,,,
6610,2016,34I001705,34I001,RYAN HIGH SCHOOL,1.00,0.04,3.05,0.96,,17.85,1.00,0.00,,,,,
6611,2016,34I014705,34I014,RINGLING HIGH SCHOOL,1.00,0.09,3.23,0.32,,20.35,0.81,0.03,,,,,
6612,2016,34I023705,34I023,WAURIKA HIGH SCHOOL,1.00,0.00,2.97,1.00,,21.15,0.68,0.09,,,,,
6613,2016,35I002705,35I002,MILL CREEK HIGH SCHOOL,0.92,0.14,3.37,0.64,,17.00,1.00,0.00,,,,,
6614,2016,35I020705,35I020,TISHOMINGO HIGH SCHOOL,1.00,0.02,3.20,0.34,,20.97,0.90,0.02,,,,,
6615,2016,35I029705,35I029,MILBURN HIGH SCHOOL,1.00,0.00,3.35,0.91,,18.30,0.83,0.00,,,,,
6616,2016,35I035705,35I035,COLEMAN HIGH SCHOOL,1.00,0.05,3.50,0.05,,19.06,1.00,0.00,,,,,
6617,2016,35I037705,35I037,WAPANUCKA HIGH SCHOOL,1.00,0.00,FTR,0.80,,19.63,FTR,FTR,,,,,
6618,2016,36I045705,36I045,BLACKWELL HIGH SCHOOL,0.99,0.11,2.97,0.58,,19.69,1.00,0.05,,,,,
6619,2016,36I071705,36I071,PONCA CITY HIGH SCHOOL,0.96,0.06,2.77,0.50,,21.55,0.66,0.04,,,,,
6620,2016,36I087715,36I087,TONKAWA HIGH SCHOOL,0.98,0.06,3.35,0.44,,20.07,0.86,0.00,,,,,
6621,2016,36I125705,36I125,NEWKIRK HIGH SCHOOL,0.97,0.03,3.07,0.39,,18.58,0.75,0.22,,,,,
6622,2016,37I002705,37I002,DOVER HIGH SCHOOL,1.00,0.00,3.68,0.70,,18.17,1.00,0.10,,,,,
6623,2016,37I003705,37I003,LOMEGA HIGH SCHOOL,1.00,0.00,3.29,1.00,,21.00,1.00,0.00,,,,,
6624,2016,37I007705,37I007,KINGFISHER HIGH SCHOOL,1.00,0.00,3.23,0.82,,20.72,0.87,0.04,,,,,
6625,2016,37I016705,37I016,HENNESSEY HIGH SCHOOL,1.00,0.00,3.42,0.31,,20.65,0.91,0.07,,,,,
6626,2016,37I089705,37I089,CASHION HIGH SCHOOL,0.97,0.03,3.17,0.83,,21.27,0.94,0.03,,,,,
6627,2016,37I105705,37I105,OKARCHE HIGH SCHOOL,1.00,0.00,3.34,0.96,,22.57,1.00,0.00,,,,,
6628,2016,38I001705,38I001,HOBART HIGH SCHOOL,0.95,0.05,3.14,0.60,,18.42,0.89,0.07,,,,,
6629,2016,38I002705,38I002,LONE WOLF HIGH SCHOOL,1.00,0.00,**,0.40,,DNA,0.50,0.00,,,,,
6630,2016,38I003715,38I003,MOUNTAIN VIEW-GOTEBO HIGH SCHOOL,1.00,0.00,2.93,1.00,,19.67,0.88,0.00,,,,,
6631,2016,38I004705,38I004,SNYDER HIGH SCHOOL,1.00,0.00,3.07,0.32,,18.94,0.81,0.00,,,,,
6632,2016,39I001705,39I001,WILBURTON HIGH SCHOOL,0.97,0.11,2.81,0.48,,20.30,0.67,0.02,,,,,
6633,2016,39I002705,39I002,RED OAK HIGH SCHOOL,1.00,0.00,3.53,0.33,,19.33,1.00,0.00,,,,,
6634,2016,39I003705,39I003,BUFFALO VALLEY HIGH SCHOOL,1.00,0.00,3.20,0.73,,**,1.00,0.00,,,,,
6635,2016,39I004705,39I004,PANOLA HIGH SCHOOL,1.00,0.00,3.50,1.00,,**,1.00,0.00,,,,,
6636,2016,40I002705,40I002,SPIRO HIGH SCHOOL,0.98,0.10,2.68,0.89,,20.27,0.08,0.06,,,,,
6637,2016,40I003705,40I003,HEAVENER HIGH SCHOOL,1.00,0.00,3.05,0.64,,18.62,0.67,0.02,,,,,
6638,2016,40I007705,40I007,POCOLA HIGH SCHOOL,0.98,0.05,2.81,0.78,,20.24,1.00,0.15,,,,,
6639,2016,40I016705,40I016,LeFLORE HIGH SCHOOL,1.00,0.00,3.35,0.80,,18.20,0.64,0.00,,,,,
6640,2016,40I017705,40I017,CAMERON HIGH SCHOOL,1.00,0.00,3.13,0.68,,17.78,1.00,0.00,,,,,
6641,2016,40I020705,40I020,PANAMA HIGH SCHOOL,1.00,0.01,3.14,0.73,,18.97,0.93,0.01,,,,,
6642,2016,40I026715,40I026,BOKOSHE HIGH SCHOOL,1.00,0.07,3.19,0.85,,**,1.00,0.00,,,,,
6643,2016,40I029705,40I029,POTEAU HIGH SCHOOL,0.98,0.08,3.00,0.46,,21.02,0.86,0.06,,,,,
