RecordNumber,YR,SchoolCode,DistrictCode,Site,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE,LanguageArts,Science,Math,SocialStudies,FineArts,Languages
,2015,55I089530,55I089,WEBSTER MIDDLE SCHOOL,968,55.32,51790.094,0.266,9.8429,8.641,2.944,5.987,4.457,,,,,,
,2015,55I089535,55I089,JOHN MARSHALL MIDDLE SCHOOL,240,12.815,48741.943,0.1903,7.3994,2,1,0.766,1,,,,,,
,2015,55I089540,55I089,OKLAHOMA CENTENNIAL MIDDLE SCHOOL,217,14.753,49032.468,0.2252,10.285,4.174,1,0.97,0,,,,,,
,2015,55I089705,55I089,CAPITOL HILL HIGH SCHOOL,1353,77.134,49822.7759,0.2493,7.1401,14.094,4.5,5.936,6.915,7,6,8,4,21,5
,2015,55I089706,55I089,CLASSEN HIGH SCHOOL OF ADVANCED STUDIES,493,39.522,54905.2173,0.4443,13.0536,3.1,1.944,1.785,2.218,12,8,8,9.5,35,13
,2015,55I089707,55I089,DOUGLASS HIGH SCHOOL,418,28.778,50748.8359,0.3595,8.919,6.497,1.5,4.43,3.5,5,3,5,6.5,6,1
,2015,55I089712,55I089,U. S. GRANT HIGH SCHOOL,1743,99.243,48686.5774,0.2508,5.5444,15.448,4.47,8.244,6.79,11,11,8,8,22,3
,2015,55I089726,55I089,JOHN MARSHALL HIGH SCHOOL,424,29.643,54462.5038,0.458,9.3523,10.1,0.668,1.774,2.759,8,8,7,5,14,2
,2015,55I089750,55I089,OKLAHOMA CENTENNIAL HIGH SCHOOL,333,26.635,50562.1175,0.2606,8.5761,4.6,2,2.949,4,8,5,4.5,4,8,2
,2015,55I089760,55I089,NORTHEAST HIGH SCHOOL,214,16.484,56577.5904,0.4291,12.5997,0.6,0.5,1.1,1.103,7,3,7,4,5,1
,2015,55I089765,55I089,NORTHWEST CLASSEN HIGH SCHOOL,1111,60.368,52634.674,0.2715,9.2537,15.537,3,5.299,5,8,10,8,4,15,3
,2015,55I089770,55I089,SOUTHEAST HIGH SCHOOL,757,36.069,56524.4115,0.3755,13.5438,5.962,2,4.3,3,8.5,8,8,8,18,2
,2015,55I089780,55I089,STAR SPENCER HIGH SCHOOL,385,27.537,60370.8102,0.379,12.4965,6.763,1.431,1.832,2.827,10,5,9,5,17.5,2
,2015,55I089971,55I089,INDEPENDENCE CHARTER MIDDLE SCHOOL,303,17,47160.5294,0.4412,12.2647,1.5,0.25,0.5,0.75,,,,,,
,2015,55I089973,55I089,HUPFELD ACADEMY AT WESTERN VILLAGE,330,16.01,51367.7701,0.1249,6.1221,1,1,1,1,,,,,,
,2015,55I089975,55I089,DOVE SCIENCE ACADEMY (OKC),493,29.516,43072.0626,0.3049,4.2864,2,1,1.2,4.944,11,8,7,9.5,4,6
,2015,55I089977,55I089,SANTA FE SOUTH HIGH SCHOOL,646,31.08,52578.4106,0.3436,8.3516,1,1.463,4.75,5.93,11.5,5,8,4.5,6,5
,2015,55I089978,55I089,HARDING CHARTER PREPARATORY HIGH SCHOOL,482,27.75,42555.4955,0.2523,6.9279,1,2,1,3,13,5,9,4.5,5,18
,2015,55I089980,55I089,HARDING FINE ARTS ACADEMY,361,23.222,42969.4686,0.2086,4.2695,0.852,0.75,0,2.264,13,6,6,6.5,24,8
,2015,55I089981,55I089,SANTA FE SOUTH MIDDLE SCHOOL,389,20.36,48932.6621,0.2043,6.8492,1,0.85,3.85,2.6,,,,,,
,2015,55I089982,55I089,KIPP REACH COLLEGE PREPARATORY,300,16,43297.8125,0,2.75,0.143,1,2.263,4,,,,,,
,2015,55I089984,55I089,DOVE SCIENCE ACADEMY ELEMENTARY (OKC),308,15.809,37861.0285,0.1581,2.7138,1,1,0.7,3.559,,,,,,
,2015,55I089986,55I089,HARPER ACADEMY,126,6.3,12735.3968,0.3651,12.5714,0.3,0,0,1.3,4,3,6,4,0,0
,2015,56C011105,56C011,TWIN HILLS ELEMENTARY,370,22.214,46019.7173,0.3248,16.1125,1,0,2.5,0.654,,,,,,
,2015,56I001130,56I001,OKMULGEE ELEMENTARY,328,16.951,41150.6696,0.059,13.5739,3,1,1.5,1,,,,,,
,2015,56I001140,56I001,OKMULGEE PRIMARY SCHOOL,521,25.557,39971.319,0.1565,11.4472,2,1,2,2,,,,,,
,2015,56I001505,56I001,OKMULGEE MIDDLE SCHOOL,313,17,43849.2941,0.2353,14.7059,1.384,0.417,0.5,2,,,,,,
,2015,56I001705,56I001,OKMULGEE HIGH SCHOOL,399,21.188,42061.8274,0.1393,12.5035,3.67,2,2.073,3.091,10,5,7,10,6,0
,2015,56I002105,56I002,HENRYETTA ELEMENTARY,702,34.143,42823.2434,0.1757,12.3599,6,1,5,2,,,,,,
,2015,56I002505,56I002,HENRYETTA MIDDLE SCHOOL,262,15.286,44481.2901,0.0187,17.5137,2.571,1,1.5,1,,,,,,
,2015,56I002705,56I002,HENRYETTA HIGH SCHOOL,285,14.585,45165.7868,0.1175,21.0601,1.715,1,2.215,1.286,4.5,2,3.5,2.5,2.5,0.5
,2015,56I003105,56I003,MORRIS ELEMENTARY,508,26.715,45109.4891,0.1684,17.1379,2,0.5,3.714,2,,,,,,
,2015,56I003505,56I003,MORRIS MIDDLE SCHOOL,248,12.939,41034.083,0.1354,12.6189,2.13,0.5,0.584,1,,,,,,
,2015,56I003705,56I003,MORRIS HIGH SCHOOL,331,20.413,40245.6768,0.1995,14.7691,1.835,1,1.154,2,7,6,5,4,7,2
,2015,56I004105,56I004,BEGGS ELEMENTARY,447,22.5,39990.8889,0.2222,10.0667,2,1,3.429,2.5,,,,,,
,2015,56I004505,56I004,BEGGS MIDDLE SCHOOL,359,18.643,40458.6708,0.1686,9.0462,1,1.5,1.072,1,,,,,,
,2015,56I004705,56I004,BEGGS HIGH SCHOOL,362,20.642,42436.5856,0.2837,13.54,3,1,2.215,2.708,9,3,7,4.5,7,0
