Year,SchoolName,SchoolCode,SchoolType,Hispanic%,NativeAmerican%,Asian%,AfricanAmerican%,PacificIslander%,White%,TwoRaces%,Total
2016,"ARKOMA JHS",40I091605,"Middle School",0.0000,0.0000,0.0000,0.0000,0.0000,0.7037,0.2963,54
2014,"SINGLETON ES",40I091105,"Elementary School",0.0314,0.0189,0.0000,0.0000,0.0000,0.7013,0.2484,318
2015,"SINGLETON ES",40I091205,"Elementary School",0.0417,0.0303,0.0000,0.0000,0.0000,0.6970,0.2311,264
2016,"SINGLETON ES",40I091205,"Elementary School",0.0395,0.0175,0.0000,0.0000,0.0000,0.7105,0.2325,228
2014,"ARNETT ES",23I003105,"Elementary School",0.1042,0.0208,0.0000,0.0069,0.0000,0.8472,0.0208,144
2015,"ARNETT ES",23I003105,"Elementary School",0.0784,0.0327,0.0000,0.0131,0.0000,0.8627,0.0131,153
2016,"ARNETT ES",23I003105,"Elementary School",0.1364,0.0065,0.0000,0.0325,0.0000,0.8117,0.0130,154
2014,"ARNETT HS",23I003705,"High School",0.1017,0.0339,0.0000,0.0169,0.0000,0.8475,0.0000,59
2015,"ARNETT HS",23I003705,"High School",0.0714,0.0357,0.0000,0.0179,0.0000,0.8750,0.0000,56
2016,"ARNETT HS",23I003705,"High School",0.0517,0.0172,0.0000,0.0000,0.0000,0.9310,0.0000,58
2014,"ASHER ES",63I112105,"Elementary School",0.0749,0.3476,0.0000,0.0053,0.0000,0.5722,0.0000,187
2015,"ASHER ES",63I112105,"Elementary School",0.0794,0.3175,0.0000,0.0053,0.0000,0.5979,0.0000,189
2016,"ASHER ES",63I112105,"Elementary School",0.0591,0.3387,0.0000,0.0054,0.0000,0.5968,0.0000,186
2014,"ASHER HS",63I112705,"High School",0.1125,0.3625,0.0000,0.0125,0.0000,0.5125,0.0000,80
2015,"ASHER HS",63I112705,"High School",0.1176,0.3176,0.0000,0.0118,0.0000,0.5529,0.0000,85
2016,"ASHER HS",63I112705,"High School",0.0986,0.3239,0.0000,0.0141,0.0000,0.5634,0.0000,71
2014,"ASTEC CHARTER HS",55E004983,"Charter School",0.7676,0.0131,0.0444,0.0836,0.0000,0.0914,0.0000,383
2015,"ASTEC CHARTER HS",55E004972,"Charter School",0.8065,0.0115,0.0415,0.0668,0.0000,0.0645,0.0092,434
2016,"ASTEC CHARTER HS",55E004972,"Charter School",0.8568,0.0085,0.0321,0.0470,0.0000,0.0513,0.0043,468
2014,"ASTEC CHARTER MS",55E004971,"Charter School",0.8544,0.0073,0.0316,0.0413,0.0000,0.0437,0.0218,412
2015,"ASTEC CHARTER MS",55E004971,"Charter School",0.8465,0.0192,0.0288,0.0456,0.0000,0.0480,0.0120,417
2016,"ASTEC CHARTER MS",55E004971,"Charter School",0.8457,0.0152,0.0304,0.0543,0.0000,0.0435,0.0109,460
2014,"ATOKA ES",03I015120,"Elementary School",0.0453,0.3048,0.0151,0.1134,0.0000,0.4811,0.0403,397
2015,"ATOKA ES",03I015120,"Elementary School",0.0565,0.2761,0.0087,0.0870,0.0000,0.4826,0.0891,460
2016,"ATOKA ES",03I015120,"Elementary School",0.0597,0.2772,0.0149,0.0746,0.0000,0.4776,0.0959,469
2014,"ATOKA HS",03I015705,"High School",0.0417,0.3712,0.0038,0.0644,0.0000,0.4962,0.0227,264
2015,"ATOKA HS",03I015705,"High School",0.0646,0.3401,0.0034,0.0646,0.0000,0.4796,0.0476,294
2016,"ATOKA HS",03I015705,"High School",0.0627,0.3582,0.0090,0.0687,0.0000,0.4925,0.0090,335
2014,"MCCALL MS",03I015505,"Middle School",0.0829,0.2762,0.0166,0.1050,0.0000,0.5138,0.0055,181
2015,"MCCALL MS",03I015505,"Middle School",0.0695,0.2727,0.0267,0.0856,0.0000,0.4813,0.0642,187
2016,"MCCALL MS",03I015505,"Middle School",0.0625,0.2083,0.0313,0.0729,0.0000,0.4844,0.1406,192
2014,"AVANT PUBLIC SCHOOL",57C035105,"Elementary School",0.0109,0.3370,0.0000,0.0000,0.0000,0.3478,0.3043,92
2015,"AVANT PUBLIC SCHOOL",57C035105,"Elementary School",0.0250,0.4500,0.0000,0.0000,0.0000,0.3625,0.1625,80
2016,"AVANT PUBLIC SCHOOL",57C035105,"Elementary School",0.0128,0.3846,0.0000,0.0000,0.0128,0.4359,0.1538,78
2014,"BALKO ES",04I075105,"Elementary School",0.1835,0.0000,0.0000,0.0000,0.0000,0.8165,0.0000,109
2015,"BALKO ES",04I075105,"Elementary School",0.1121,0.0000,0.0000,0.0093,0.0000,0.8785,0.0000,107
2016,"BALKO ES",04I075105,"Elementary School",0.0847,0.0000,0.0000,0.0085,0.0000,0.9068,0.0000,118
2014,"BALKO HS",04I075705,"High School",0.0465,0.0000,0.0000,0.0000,0.0000,0.9302,0.0233,43
2015,"BALKO HS",04I075705,"High School",0.0227,0.0455,0.0000,0.0000,0.0000,0.9318,0.0000,44
2016,"BALKO HS",04I075705,"High School",0.0227,0.0455,0.0000,0.0000,0.0000,0.9318,0.0000,44
2014,"BANNER PUBLIC SCHOOL",09C031105,"Elementary School",0.1005,0.0370,0.0053,0.0053,0.0053,0.7672,0.0794,189
2015,"BANNER PUBLIC SCHOOL",09C031105,"Elementary School",0.1483,0.0144,0.0239,0.0000,0.0048,0.7273,0.0813,209
