Year,SchoolCode,DistrictCode,Site,AvgIncome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE
2015,45I002705,45I002,MADILL HIGH SCHOOL,52774.26,35361.07,0.07,0.14,0.26,0.63,0.15,0.63,0.22,489,30.38,46296.07,0.292,14.92,2,1.14,1.88,2.75
2016,45I002705,45I002,MADILL HIGH SCHOOL,52391.55,35843.18,0.06,0.14,0.3,0.619,0.14,0.63,0.23,499,32.32,45820,0.244,14.88,2,1.13,1,2.75
2014,45I002505,45I002,MADILL MIDDLE SCHOOL,49913,33578,0.08,0.15,0.25,0.79,0.16,0.61,0.23,398,21.38,44591.35,0.357,14.88,2.13,1,1,2
2015,45I002505,45I002,MADILL MIDDLE SCHOOL,52774.26,35361.07,0.07,0.14,0.26,0.767,0.15,0.63,0.22,356,22.38,45185.83,0.346,15.14,2,1,0.63,2
2016,45I002505,45I002,MADILL MIDDLE SCHOOL,52391.55,35843.18,0.06,0.14,0.3,0.72,0.14,0.63,0.23,350,21.1,44995.64,0.504,13.4,2.13,1,1,2
2014,14I029130,14I029,MADISON ELEMENTARY,69395,55637,0.06,0.18,0.32,0.68,0.44,0.49,0.07,436,24.47,45125.73,0.149,10.79,4.17,1.04,2.5,1
2015,14I029130,14I029,MADISON ELEMENTARY,70620.91,56850.76,0.06,0.18,0.32,0.682,0.44,0.5,0.07,425,23.17,45032.11,0.145,10.99,4.2,1,2.5,1
2016,14I029130,14I029,MADISON ELEMENTARY,71495.25,60163.65,0.05,0.18,0.32,0.684,0.42,0.51,0.07,405,23.16,45061.19,0.153,9.57,4.2,1,2.5,1
2014,74I030510,74I030,MADISON MIDDLE SCHOOL,66112,44351,0.06,0.15,0.35,0.43,0.29,0.61,0.1,625,35.29,44300.07,0.213,11.67,4.33,2,2.33,2
2015,74I030510,74I030,MADISON MIDDLE SCHOOL,67816.34,45108.64,0.06,0.15,0.31,0.421,0.3,0.6,0.1,601,38.73,43100.49,0.129,10.63,4.5,2,2.33,2
2016,74I030510,74I030,MADISON MIDDLE SCHOOL,69233.34,47300.97,0.05,0.15,0.32,0.443,0.31,0.59,0.09,655,38.91,44629.08,0.257,13.03,4.53,2,2.5,2
2014,28I001705,28I001,MANGUM HIGH SCHOOL,46930,23236,0.03,0.1,0.23,0.61,0.18,0.61,0.21,165,12.83,43464.42,0.078,14.86,1,0.75,2.25,1
2015,28I001705,28I001,MANGUM HIGH SCHOOL,51610.96,23947.94,0.05,0.16,0.3,0.718,0.15,0.65,0.2,181,14.86,42659.51,0.19,15.24,0.72,1,0.86,1.08
2016,28I001705,28I001,MANGUM HIGH SCHOOL,51240.81,22423.05,0.05,0.15,0.27,0.732,0.15,0.69,0.16,190,15.69,45863.13,0.139,20.17,1,0.33,0.43,1
2014,28I001510,28I001,MANGUM MIDDLE SCHOOL,46930,23236,0.03,0.1,0.23,0.65,0.18,0.61,0.21,212,13.89,44116.39,0.342,15.3,1,0.25,1,1
2015,28I001510,28I001,MANGUM MIDDLE SCHOOL,51610.96,23947.94,0.05,0.16,0.3,0.67,0.15,0.65,0.2,233,13.65,46146.79,0.404,13.14,1.28,0,0,1
2016,28I001510,28I001,MANGUM MIDDLE SCHOOL,51240.81,22423.05,0.05,0.15,0.27,0.7,0.15,0.69,0.16,233,14.59,45255.38,0.404,15.7,1,0.33,0.43,1
2014,19I003115,19I003,MANNFORD EC CTR,59539,24095,0.06,0.12,0.29,0.67,0.13,0.73,0.14,191,9.75,39733.44,0,9.36,0.25,0.25,1.06,1
2015,19I003115,19I003,MANNFORD EC CTR,60463.32,25339.09,0.05,0.13,0.39,0.601,0.12,0.74,0.13,198,9.75,41688,0.103,14.56,0,0.25,0.25,1
2016,19I003115,19I003,MANNFORD EC CTR,58558.02,28034.24,0.05,0.13,0.4,0.653,0.14,0.7,0.15,199,9.7,43235.75,0.155,17.18,0,0.25,0.25,1
2014,19I003705,19I003,MANNFORD HIGH SCHOOL,59539,24095,0.06,0.12,0.29,0.55,0.13,0.73,0.14,514,32.46,42092.26,0.129,13.51,5.5,1.25,0.84,3
