,Year,SchoolCode,SchoolName,IndexScore,LetterGrade,AvgIncome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE,Hispanic%,NativeAmerican%,Asian%,AfricanAmerican%,PacificIslander%,White%,TwoRaces%,Total
2580,2014,66I004505,OOLOGAH-TALALA MS,83.0,B,82601.0,65955.0,0.07,0.07,0.22,0.52,0.23,0.69,0.07,406.0,27.2,45303.8,0.21899999999999997,17.32,0.59,1.0,0.9,2.0,0.0394,0.2488,0.0468,0.0049,0.0,0.5961,0.064,406.0
2583,2014,68I001510,TOMMIE SPEAR MS,78.0,C,44010.0,25727.0,0.08,0.21,0.31,0.72,0.12,0.7,0.17,424.0,23.92,43579.69,0.289,16.14,3.0,1.0,1.0,2.0,0.0637,0.4481,0.0259,0.0142,0.0,0.4434,0.0047,424.0
2584,2015,68I001510,TOMMIE SPEAR MS,77.0,C,43921.83,27509.81,0.08,0.24,0.36,0.7759999999999999,0.12,0.71,0.18,379.0,23.58,44168.31,0.085,12.96,3.0,1.0,1.0,2.0,0.0739,0.409,0.0211,0.0237,0.0,0.4644,0.0079,379.0
2586,2014,72I010510,BERRYHILL MS,87.0,B,67070.0,30226.0,0.08,0.08,0.27,0.37,0.2,0.71,0.09,191.0,9.97,41372.22,0.149,9.38,0.66,1.0,0.84,1.0,0.0262,0.1518,0.0,0.0157,0.0,0.6178,0.1885,191.0
2587,2014,72I004505,BIXBY MS,94.0,A,102161.0,63260.0,0.04,0.07,0.16,0.27,0.4,0.54,0.07,833.0,38.11,46378.46,0.289,12.87,6.0,2.0,3.1,3.34,0.0696,0.084,0.006,0.018000000000000002,0.0,0.7503,0.07200000000000001,833.0
2588,2015,72I004505,BIXBY MS,94.0,A,103195.39,65463.32,0.04,0.07,0.19,0.256,0.41,0.54,0.06,872.0,37.7,46675.28,0.317,12.78,5.94,2.0,4.0,3.34,0.0596,0.0872,0.0103,0.0138,0.0011,0.7523,0.0757,872.0
2589,2015,72I003505,CENTENNIAL MS,75.0,C,78668.01,44028.2,0.06,0.08,0.27,0.39399999999999996,0.29,0.64,0.07,1024.0,48.08,42327.45,0.17600000000000002,10.43,8.0,3.0,2.12,3.0,0.1553,0.0684,0.043,0.0498,0.001,0.6211,0.0615,1024.0
2590,2014,72I003520,CHILDERS MS,75.0,C,77858.0,42674.0,0.06,0.08,0.25,0.46,0.29,0.65,0.07,735.0,37.39,43187.86,0.261,12.99,7.0,2.0,2.41,3.0,0.068,0.083,0.0136,0.0313,0.0,0.6966,0.1075,735.0
2591,2014,72I003525,OLIVER MS,76.0,C,77858.0,42674.0,0.06,0.08,0.25,0.46,0.29,0.65,0.07,805.0,39.62,43075.87,0.313,13.21,6.78,2.0,4.53,3.0,0.0932,0.0634,0.0161,0.0646,0.0037,0.6944,0.0646,805.0
2592,2014,72I003530,ONETA RIDGE MS,71.0,C,77858.0,42674.0,0.06,0.08,0.25,0.4,0.29,0.65,0.07,747.0,38.92,43008.81,0.231,10.3,8.64,2.0,3.96,2.83,0.083,0.0669,0.0509,0.0482,0.0054,0.6653,0.0803,747.0
